Line_Number	content	contentSimp	reply	timeCode	user	fake_username
80	i think that those commercials like Everest those online schools make it to easy for people to get out in the medical field, whether it be a receptionist of just a nurses aid. I think that the medical field should require degrees with top notch nursing programs and up. Even UTA for example, it is smaller than UT A&M but we still have a wonderful program. Can you really trust people that graduate from online schools. Yeah they can pass a MCAT but by how many points? Raise the passing percentage of the medical field tests to make sure we are getting quality doctors handling our LIVES.	commercials everest online schools make easy people medical field, receptionist nurses aid. medical field require degrees top notch nursing programs up. uta example, smaller ut a&m wonderful program. trust people graduate online schools. yeah pass mcat points? raise passing percentage medical field tests make quality doctors handling lives.	-1	April 08, 2013, 01:17:56 PM	36f53	Teresa Oconnor
81	I 100% agree fully with this. One problem at a time. i think we should focus on getting out of debt first.	100% agree fully this. problem time. focus debt first.	61	April 08, 2013, 01:19:40 PM	36f53	Teresa Oconnor
82	quit spending money on putting mcdonalds on every corner of every street too.	quit spending money putting mcdonalds corner street too.	62	April 08, 2013, 01:21:29 PM	36f53	Teresa Oconnor
83	Health care system should crack down more on the obesity in schools. We are becoming a nation where its socially acceptable to be fat and die fat. its disgusting, and saddening to think that other nations stereotype us Americans as a bunch of fat people. It is seriously not hard to teach good nutrition in schools and make nutritious meals without making them taste disgusting and fake as they do now.	health care system crack obesity schools. nation socially acceptable fat die fat. disgusting, saddening nations stereotype americans bunch fat people. hard teach good nutrition schools make nutritious meals making taste disgusting fake now.	-1	April 08, 2013, 01:24:56 PM	36f53	Teresa Oconnor
84	Create an app for emergency rooms and other medical facilities that allow patients to check in and fill out all the usual paperwork digitally. This would cut down on paper costs and potentially make the check in process at hospitals more efficient. Perhaps include features like estimated wait time or allow the patient to see the number of people waiting ahead of them.	create app emergency rooms medical facilities patients check fill usual paperwork digitally. cut paper costs potentially make check process hospitals efficient. include features estimated wait time patient number people waiting ahead them.	-1	April 15, 2013, 09:41:08 AM	88f51	Debbie Humphrey
85	Legalize marijuana for medicinal use in the U.S.	legalize marijuana medicinal u.s.	-1	April 15, 2013, 09:49:49 AM	88f51	Debbie Humphrey
86	People would not feel secure if someone who graduated online is treating them.	people feel secure graduated online treating them.	80	April 15, 2013, 11:00:44 AM	80f54	Andrew Silva
87	Legalizing marijuana is an issue in US which should be taken care of soon. Marijuana is good for medical purpose so if it is legalized then it should be legalized only in hospitals.	legalizing marijuana issue care soon. marijuana good medical purpose legalized legalized hospitals.	85	April 15, 2013, 11:02:32 AM	80f54	Andrew Silva
88	I think this is a great idea, we will be saving trees and patients.	great idea, saving trees patients.	-1	April 15, 2013, 11:03:31 AM	80f54	Andrew Silva
89	I agree that it could be hard for people to trust someone who graduated from an online school.	agree hard people trust graduated online school.	80	April 15, 2013, 11:04:34 AM	8f52	Austin Johnson
90	Get rid of online medical programs, because people need to be training with hands on experience.	rid online medical programs, people training hands experience.	-1	April 15, 2013, 11:05:19 AM	8f52	Austin Johnson
91	Almost everyone has iphone or ipads or technology of some sort. They could use these technologies to help them have a healthy lifestyle. For example, they could download the apps in their phones which provide their BMI check up or weight check up for free. This could really help many from less hospitals visits.	iphone ipads technology sort. technologies healthy lifestyle. example, download apps phones provide bmi check weight check free. hospitals visits.	-1	April 15, 2013, 11:06:51 AM	80f54	Andrew Silva
92	If some people cannot afford being treated, then they won't be able to afford buying the technology to do this.	people afford treated, won't afford buying technology this.	-1	April 15, 2013, 11:08:12 AM	8f52	Austin Johnson
93	Now the people who really care about their health have many ways to keep them in shape. The apps in the phones have exercising routines from which people can follow up 20 min everyday and be healthy for coming years ahead of them.	people care health ways shape. apps phones exercising routines people follow 20 min everyday healthy coming years ahead them.	-1	April 15, 2013, 11:08:49 AM	80f54	Andrew Silva
94	I think that the amount of restaurants in US is really making everywhere else to think that the US is a fat country.	amount restaurants making fat country.	-1	April 15, 2013, 11:11:01 AM	80f54	Andrew Silva
95	The people should be required to volunteer more hours in the hospitals so that they are experienced.	people required volunteer hours hospitals experienced.	-1	April 15, 2013, 11:12:48 AM	80f54	Andrew Silva
96	There is really no excuse to not being healthy. Even an app can help out a person, so idk why so many people complain about not being in shape. It is all a matter of choice and action.	excuse healthy. app person, idk people complain shape. matter choice action.	93	April 15, 2013, 11:16:19 AM	8f52	Austin Johnson
97	I think that the field tests should be very practical because we learn by experience and not just by memorizing the books.	field tests practical learn experience memorizing books.	80	April 15, 2013, 11:16:47 AM	80f54	Andrew Silva
98	A diverse environment inside hospitals would help people be more accepting with other races. It would help patients be friendly to people they have never interacted with.	diverse environment inside hospitals people accepting races. patients friendly people interacted with.	74	April 15, 2013, 11:18:55 AM	8f52	Austin Johnson
99	They could create an app that everyone can afford and its only one-time buying too so that everyone can use it whenever they want without buying it each time.	create app afford one-time buying buying time.	92	April 15, 2013, 11:20:09 AM	80f54	Andrew Silva
100	We are way to involved in foreign affairs. Like hurricane Katrina, the first people to actually show up and help were Canadian officers and Cubans I believe, where were the American federals? Something doesnt seem right there.	involved foreign affairs. hurricane katrina, people show canadian officers cubans believe, american federals? there.	59	April 15, 2013, 12:09:43 PM	36f53	Teresa Oconnor
101	Definitely need to get rid of online medical programs. It is way to easy to get a degree in medical fields and have no hands on experience. It is very scary to think people without in school degrees and internships are handling our nations patients!	rid online medical programs. easy degree medical fields hands experience. scary people school degrees internships handling nations patients!	-1	April 15, 2013, 12:15:20 PM	36f53	Teresa Oconnor
102	And in that, the government should do something about health insurance for the poor to keep them out of emergency rooms and in with family doctors or Quick Care services to make room for people who actually need emergency care. Most hospitals are filled with sniffling/ coughing people who go there just because they cant afford a doctor and therefore taking up emergency room doctors time of treating actual emergency patients.	that, government health insurance poor emergency rooms family doctors quick care services make room people emergency care. hospitals filled sniffling/ coughing people afford doctor taking emergency room doctors time treating actual emergency patients.	77	April 15, 2013, 12:20:09 PM	36f53	Teresa Oconnor
103	Bingo! Our government needs to realize yes we are an open nation and that is great! But as an open nation we should have the number one priority of focusing on our growing nation and accommodating to the needs of Americans because we are all here for one thing and that is to achieve the American Dream.	bingo! government realize open nation great! open nation number priority focusing growing nation accommodating americans thing achieve american dream.	59	April 15, 2013, 12:23:52 PM	36f53	Teresa Oconnor
104	Personally, I think that if doctors and nurses, etc. were on a government paycheck like police officers or firemen then it would be easier to give health care to anyone who needs it, rather than the people who can afford it.	personally, doctors nurses, etc. government paycheck police officers firemen easier give health care it, people afford it.	-1	April 15, 2013, 02:08:51 PM	56f55	Dana Avila MD
105	this is not true for all birth control. If it's true at all. I take birth control every day and I pay $50 a month for it. WITH insurance.	true birth control. it's true all. birth control day pay $50 month it. insurance.	78	April 15, 2013, 02:10:09 PM	56f55	Dana Avila MD
106	we don't pay for that? the Mcdonald's cooperation, or the people who own that land pay for the Mcdonald's to be built. The reason that big companies like Walmart and Fast food chains are more common than hospitals is because they have the money to pay for the land and the development of the buildings.	don't pay that? mcdonald's cooperation, people land pay mcdonald's built. reason big companies walmart fast food chains common hospitals money pay land development buildings.	-1	April 15, 2013, 02:13:01 PM	56f55	Dana Avila MD
107	exactly. I went to the J-spot seminar a few weeks ago and the speaker showed a video of what sex education is like in MIDDLE schools in parts of Europe, and it was more education about sex than I saw in high school. It talked about the different parts of the sexual organs and how you're supposed to treat them. Also, about stds and things you shouldn't do during sex to make sure you're safe.	exactly. j-spot seminar weeks ago speaker showed video sex education middle schools parts europe, education sex high school. talked parts sexual organs you're supposed treat them. also, stds things shouldn't sex make you're safe.	-1	April 15, 2013, 02:15:16 PM	56f55	Dana Avila MD
108	The only problem is that the person has to be qualified. I'm not about to take myself or a loved one to a doctor with no experience.	problem person qualified. i'm loved doctor experience.	55	April 15, 2013, 02:16:40 PM	56f55	Dana Avila MD
109	Honestly, the only way healthcare reform is going to happen is if there is money to do it. The only way I can see that happening is if the government spends less on the military and useless goods that no one really needs from other countries and starts focusing more on it's own problems rather than the rest of the world's. Start manufacturing the medication here in the US to make it more affordable. Educate US citizens and give them scholarships to go to medical school rather than people who are only here to get an education then move back to their own country. We need to focus on ourselves before we try and give our time and money to other places in the world.	honestly, healthcare reform happen money it. happening government spends military useless goods countries starts focusing it's problems rest world's. start manufacturing medication make affordable. educate citizens give scholarships medical school people education move back country. focus give time money places world.	-1	April 15, 2013, 02:20:50 PM	56f55	Dana Avila MD
110	The people who need healthcare the most and can't afford it would not be able to afford technology at all.	people healthcare can't afford afford technology all.	91	April 15, 2013, 02:21:33 PM	56f55	Dana Avila MD
111	They can't download an affordable app if they don't have the device the app is available for. Not everyone owns an iphone or an android.	can't download affordable app don't device app for. owns iphone android.	99	April 15, 2013, 02:22:35 PM	56f55	Dana Avila MD
112	If the people who need the healthcare reformed the most don't really care then nothing will change. It needs to be more widely educated so that people know what options are available to them.	people healthcare reformed don't care change. widely educated people options them.	-1	April 15, 2013, 02:25:25 PM	56f55	Dana Avila MD
113	I don't understand why people who are here illegally need to be treated in the hospitals that our money pays for. They sit in the emergency room with a cold because they can't get insurance to go to a regular doctor and this takes away from the people who are in an actual emergency with appendicitis or something worse. I understand that they came here to get a better life, etc. but if someone I love dies in an emergency room because a bunch of illegal immigrants were taking up the beds I'd be very very upset.	don't understand people illegally treated hospitals money pays for. sit emergency room cold can't insurance regular doctor takes people actual emergency appendicitis worse. understand life, etc. love dies emergency room bunch illegal immigrants taking beds i'd upset.	-1	April 15, 2013, 02:27:46 PM	56f55	Dana Avila MD
114	this would not be quicker. it would be more stressful for doctors and nurses, and they would be in such a rush to get to every patient that they could miss minor details in a persons health that could be deadly.	quicker. stressful doctors nurses, rush patient miss minor details persons health deadly.	43	April 15, 2013, 02:29:35 PM	56f55	Dana Avila MD
0	make the average health care affordable	make average health care affordable	-1	April 01, 2013, 10:23:35 AM	94g11	Kathryn Gallegos
1	teach all people about healthcare before they are adults	teach people healthcare adults	-1	April 01, 2013, 10:24:06 AM	94g11	Kathryn Gallegos
2	have better healthcare providers	healthcare providers	-1	April 01, 2013, 10:24:42 AM	94g11	Kathryn Gallegos
3	put money into healthcare, and child development	put money healthcare, child development	-1	April 01, 2013, 10:25:07 AM	94g11	Kathryn Gallegos
4	have more clinics that are up to code, and professional	clinics code, professional	-1	April 01, 2013, 10:25:54 AM	94g11	Kathryn Gallegos
5	make information on health care readily available	make information health care readily	-1	April 01, 2013, 10:29:16 AM	94g11	Kathryn Gallegos
6	people who already health insurance through their employer should be left alone, people who are unemployed or work some where where healthcare is not provided should be given some type of health care option	people health insurance employer left alone, people unemployed work healthcare provided type health care option	-1	April 01, 2013, 10:33:07 AM	94g11	Kathryn Gallegos
7	healthcare should be made to understand, not worrying if you have the best insurance plan or if the doctor you like does not take your insurance; such as PPO, HMO, etc...	healthcare made understand, worrying insurance plan doctor insurance; ppo, hmo, etc...	-1	April 01, 2013, 10:35:41 AM	94g11	Kathryn Gallegos
8	use different types of healthcare from other places	types healthcare places	-1	April 01, 2013, 10:46:43 AM	94g11	Kathryn Gallegos
9	make free health care	make free health care	-1	April 01, 2013, 10:49:44 AM	94g11	Kathryn Gallegos
10	have a class over healthcare in high school, make it a required class	class healthcare high school, make required class	-1	April 01, 2013, 01:28:57 PM	61g12	Ruben Morgan
11	community centers should offer seminars over healthcare for those adults that want to know more about it	community centers offer seminars healthcare adults	-1	April 01, 2013, 01:30:00 PM	61g12	Ruben Morgan
12	students in high school should be encouraged to pursue and shown the different health care professions since there is always a lack of people willing to pursue a career involving health care	students high school encouraged pursue shown health care professions lack people pursue career involving health care	-1	April 01, 2013, 01:31:52 PM	61g12	Ruben Morgan
13	different aspects of the health care of other countries could be taken into consideration to see what works and what doesn't	aspects health care countries consideration works doesn't	8	April 01, 2013, 01:35:34 PM	61g12	Ruben Morgan
14	yes, because some of the more affordable clinics are not up to code and professional, discouraging people from going to such clinics.	yes, affordable clinics code professional, discouraging people clinics.	4	April 01, 2013, 01:37:53 PM	61g12	Ruben Morgan
15	there should be a annual seminar held in schools to inform students of diseases that are common or expected to be common that year and the measures that can be taken to prevent the diseases.	annual seminar held schools inform students diseases common expected common year measures prevent diseases.	-1	April 01, 2013, 01:41:03 PM	61g12	Ruben Morgan
16	pharmaceuticals should be made more affordable, many people go to the doctor and know what is wrong with them, but sometimes, the required pharmaceuticals are out of their price range.	pharmaceuticals made affordable, people doctor wrong them, sometimes, required pharmaceuticals price range.	-1	April 01, 2013, 01:43:35 PM	61g12	Ruben Morgan
17	people should be informed of how much it really costs to go to the ER, maybe it will serve as a deterrent to risky behavior.	people informed costs er, serve deterrent risky behavior.	-1	April 01, 2013, 01:47:02 PM	61g12	Ruben Morgan
18	all work places should have affordable health insurance for their employees, key word being affordable.	work places affordable health insurance employees, key word affordable.	-1	April 01, 2013, 01:52:01 PM	61g12	Ruben Morgan
19	basically improve education also and take some money out of healthcare for it	basically improve education money healthcare	1	April 01, 2013, 02:22:48 PM	41g13	Steven Neal
20	make vaccinations more readily available	make vaccinations readily	-1	April 01, 2013, 02:23:57 PM	41g13	Steven Neal
21	legalize marijuana, tax marijuana, use the revenue towards healthcare and also use the marijuana as a cheap medicine.	legalize marijuana, tax marijuana, revenue healthcare marijuana cheap medicine.	-1	April 01, 2013, 02:26:21 PM	41g13	Steven Neal
22	make healthcare available for everyone	make healthcare	-1	April 01, 2013, 02:30:30 PM	41g13	Steven Neal
23	"reduce the power of pharmaceuticals by reducing prices and make them search for ""cures"" which cost less money as opposed to ""treatment"" which will cost a lot more"	"reduce power pharmaceuticals reducing prices make search ""cures"" cost money opposed ""treatment"" cost lot"	16	April 01, 2013, 02:33:37 PM	41g13	Steven Neal
24	reduce the price of condoms	reduce price condoms	-1	April 01, 2013, 02:36:08 PM	41g13	Steven Neal
25	if the person works for any place they should be provided with some sort of healthcare option	person works place provided sort healthcare option	18	April 01, 2013, 02:36:57 PM	41g13	Steven Neal
26	improve the technology but not so much the cost goes even higher	improve technology cost higher	-1	April 01, 2013, 02:40:53 PM	41g13	Steven Neal
27	have school make it mandatory to get vaccinations or flu shots to keep the school sanitary	school make mandatory vaccinations flu shots school sanitary	-1	April 01, 2013, 02:42:50 PM	41g13	Steven Neal
28	make work accidents go out of the companies pocket	make work accidents companies pocket	-1	April 01, 2013, 02:44:21 PM	41g13	Steven Neal
29	have long term care for an individual be discounted	long term care individual discounted	-1	April 01, 2013, 02:47:45 PM	41g13	Steven Neal
30	have the emergency room be alert and have good hours to be prepared	emergency room alert good hours prepared	-1	April 01, 2013, 02:51:11 PM	41g13	Steven Neal
31	use a state as a guinea pig for an affordable healthcare system and see how well (or not so well) it works	state guinea pig affordable healthcare system (or well) works	-1	April 01, 2013, 03:22:56 PM	17g14	Daniel Keller
32	make healthcare available for all people	make healthcare people	-1	April 01, 2013, 03:23:11 PM	17g14	Daniel Keller
33	create education courses on how to budget money for affording healthcare	create education courses budget money affording healthcare	-1	April 01, 2013, 03:23:40 PM	17g14	Daniel Keller
34	allow the government to provide healthcare, no matter the person's condition, ethnicity, education, employment, etc.	government provide healthcare, matter person's condition, ethnicity, education, employment, etc.	-1	April 01, 2013, 03:25:01 PM	17g14	Daniel Keller
35	make it a law for all hospitals with the specific expertise for a patient to be required to give aid to patients	make law hospitals specific expertise patient required give aid patients	-1	April 01, 2013, 03:26:10 PM	17g14	Daniel Keller
36	no patient can be turned away by any healthcare provider	patient turned healthcare provider	35	April 01, 2013, 03:26:57 PM	17g14	Daniel Keller
37	education courses can be made optional for those who need help understanding	education courses made optional understanding	-1	April 01, 2013, 03:28:01 PM	17g14	Daniel Keller
38	all Americans should be given health insurance	americans health insurance	-1	April 01, 2013, 03:28:39 PM	17g14	Daniel Keller
39	preparation and space readily available in case of emergency	preparation space readily case emergency	-1	April 01, 2013, 03:29:40 PM	17g14	Daniel Keller
40	all patients cared for before given a questionairre	patients cared questionairre	-1	April 01, 2013, 03:29:57 PM	17g14	Daniel Keller
41	health first policy by all health care providers	health policy health care providers	40	April 01, 2013, 03:31:23 PM	17g14	Daniel Keller
42	cheaper prices on all things that are not self-inflicted i.e. cancer, broken bones, non-emergency care issues	cheaper prices things self-inflicted i.e. cancer, broken bones, non-emergency care issues	29	April 01, 2013, 03:33:02 PM	17g14	Daniel Keller
43	i agree. having good and affordable healthcare would prevent this because there would be help for the costs from your health insurance provider	agree. good affordable healthcare prevent costs health insurance provider	16	April 01, 2013, 03:34:39 PM	17g14	Daniel Keller
44	natural sources used for medicine is a good way to keep the body healthy	natural sources medicine good body healthy	21	April 01, 2013, 03:36:46 PM	17g14	Daniel Keller
45	companies should provide sufficient funds for people accidents, especially common accidents in the particular work place. some avoidable accidents, however, shouldn't be paid for by the company completely	companies provide sufficient funds people accidents, common accidents work place. avoidable accidents, however, shouldn't paid company completely	28	April 01, 2013, 03:40:01 PM	17g14	Daniel Keller
46	increase the stock of vaccinations in grocery stores and at other popular places with pharmacy sections	increase stock vaccinations grocery stores popular places pharmacy sections	20	April 01, 2013, 03:41:10 PM	17g14	Daniel Keller
47	educate the youth on how much their parents/guardians pay for them to stay healthy. education in schools	educate youth parents/guardians pay stay healthy. education schools	17	April 01, 2013, 03:42:11 PM	17g14	Daniel Keller
48	government run health care system	government run health care system	6	April 01, 2013, 03:43:23 PM	17g14	Daniel Keller
49	see what works and what doesn't using a guinea pig type of experimentation although some countries, in culture and in economics, are much different than the United States. possibly see how well a type of policy works in a country similar to ours	works doesn't guinea pig type experimentation countries, culture economics, united states. possibly type policy works country similar	13	April 01, 2013, 03:45:09 PM	17g14	Daniel Keller
50	allow people with their own, already established private health insurance to keep their insurance, while others who cannot afford or are not provided with the option of insurance can use the government's help with paying for/receiving good health care	people own, established private health insurance insurance, afford provided option insurance government's paying for/receiving good health care	-1	April 01, 2013, 03:47:35 PM	17g14	Daniel Keller
51	keep college students on their parents' health insurance until they are over the average age of graduation	college students parents' health insurance average age graduation	-1	April 01, 2013, 03:48:21 PM	17g14	Daniel Keller
52	if someone has a severe mental health problem, allow them immediate and cheap attention from psychologists or whatever kind of expert could help with their condition	severe mental health problem, cheap attention psychologists kind expert condition	-1	April 01, 2013, 03:49:25 PM	17g14	Daniel Keller
53	long term care patients should be provided with all they need to successfully recover or get closer to recovering	long term care patients provided successfully recover closer recovering	-1	April 01, 2013, 03:50:15 PM	17g14	Daniel Keller
54	advance pharmaceuticals to our full potential in this technologically advanced age	advance pharmaceuticals full potential technologically advanced age	-1	April 01, 2013, 03:51:34 PM	17g14	Daniel Keller
55	find cures, experiment more, create medicines that cure rather than sustain	find cures, experiment more, create medicines cure sustain	54	April 01, 2013, 03:52:26 PM	17g14	Daniel Keller
56	create more precise and accurate tools and machines to remove growths and tumors	create precise accurate tools machines remove growths tumors	-1	April 01, 2013, 03:52:52 PM	17g14	Daniel Keller
57	give more money to science	give money science	-1	April 01, 2013, 03:53:00 PM	17g14	Daniel Keller
58	keep dangerous weapons/items out of children's and unstable people's hands	dangerous weapons/items children's unstable people's hands	-1	April 01, 2013, 03:54:53 PM	17g14	Daniel Keller
59	create restrictions on the types of things mentally handicapped and unstable people have access to	create restrictions types things mentally handicapped unstable people access	-1	April 01, 2013, 03:55:33 PM	17g14	Daniel Keller
60	Money as in, decrease unneeded costs such as political position salary rate	money in, decrease unneeded costs political position salary rate	3	April 03, 2013, 02:20:17 PM	72g15	Daniel Mason
61	Create qualification to encourage people to try to earn their health care rather than just giving it to them	create qualification encourage people earn health care giving	-1	April 03, 2013, 02:21:03 PM	72g15	Daniel Mason
62	Placing different types of health care based on your needs, it would be cheaper and more efficient, in which it provide people with what they NEED.	placing types health care based needs, cheaper efficient, provide people need.	-1	April 03, 2013, 02:22:24 PM	72g15	Daniel Mason
63	Create state health care programs rather than a national one	create state health care programs national	-1	April 03, 2013, 02:23:49 PM	72g15	Daniel Mason
64	Divide health care budget in terms of priorities and levels of help needed	divide health care budget terms priorities levels needed	-1	April 03, 2013, 02:24:28 PM	72g15	Daniel Mason
65	People must provide proof that health care is needed	people provide proof health care needed	-1	April 03, 2013, 02:24:51 PM	72g15	Daniel Mason
66	Create more jobs in the health care field so that others and educate themselves and take health related problems into their own hands	create jobs health care field educate health related problems hands	-1	April 03, 2013, 02:25:34 PM	72g15	Daniel Mason
67	Provide mandatory educational classes that will teach people how to take care of themeselves	provide mandatory educational classes teach people care themeselves	-1	April 03, 2013, 02:26:20 PM	72g15	Daniel Mason
68	Compare with foreign countries with successful health care systems and adjust to strategies that are used by them	compare foreign countries successful health care systems adjust strategies	-1	April 03, 2013, 02:28:57 PM	72g15	Daniel Mason
69	emergency room care should be swift and timely, waiting areas should not be overcrowded with the amount of medical professionals we have and the number of emergency care facilities	emergency room care swift timely, waiting areas overcrowded amount medical professionals number emergency care facilities	-1	April 08, 2013, 12:11:28 PM	94g11	Kathryn Gallegos
70	schools should have some type of first aid and educational session for students	schools type aid educational session students	67	April 08, 2013, 12:12:10 PM	94g11	Kathryn Gallegos
71	health care for the homeless and people with mental health issues should also be helped on a frequent basis, such as city emergency checking out the homeless while not on calls, which will also help with unnecessary calls looking for homeless people 	health care homeless people mental health issues helped frequent basis, city emergency checking homeless calls, unnecessary calls homeless people 	-1	April 08, 2013, 12:16:29 PM	94g11	Kathryn Gallegos
72	employees should not be allowed to work shifts that are too long since it could make their judgement hazy.	employees allowed work shifts long make judgement hazy.	30	April 08, 2013, 12:17:32 PM	61g12	Ruben Morgan
73	also, encourage people to take jobs in the health care field	also, encourage people jobs health care field	66	April 08, 2013, 12:19:26 PM	61g12	Ruben Morgan
74	clear up the myths surrounding cancer and other illnesses so that people will take the correct preventive care rather than do phony remedies	clear myths surrounding cancer illnesses people correct preventive care phony remedies	-1	April 08, 2013, 12:25:14 PM	61g12	Ruben Morgan
75	the amount of prescription medication on the market should be revamped, there are way too many different medications for the same things and the side-effects are worse than the symptons	amount prescription medication market revamped, medications things side-effects worse symptons	-1	April 08, 2013, 12:26:04 PM	94g11	Kathryn Gallegos
76	keep people informed on the latest research findings	people informed latest research findings	74	April 08, 2013, 12:33:53 PM	17g14	Daniel Keller
77	inform people about the latest nutritional and health related facts	inform people latest nutritional health related facts	-1	April 08, 2013, 12:35:05 PM	17g14	Daniel Keller
78	i love this, but multiple states of all sizes and types to eliminate bias	love this, multiple states sizes types eliminate bias	31	April 08, 2013, 12:35:53 PM	41g13	Steven Neal
79	create a system that will provide maximum benefits to everyone of all backgrounds	create system provide maximum benefits backgrounds	64	April 08, 2013, 12:36:30 PM	17g14	Daniel Keller
80	loosen restrictions on certain over-the-counter drugs	loosen restrictions over-the-counter drugs	20	April 08, 2013, 12:39:20 PM	17g14	Daniel Keller
81	keep pharmaceutical companies from bending the truth in order to make more profit. i.e. stop minimal cancer research in order to keep pharmaceuticals relevant and income high	pharmaceutical companies bending truth order make profit. i.e. stop minimal cancer research order pharmaceuticals relevant income high	-1	April 08, 2013, 12:42:04 PM	17g14	Daniel Keller
82	lean towards more natural sources of medicine	lean natural sources medicine	-1	April 08, 2013, 12:42:17 PM	17g14	Daniel Keller
83	that way drugs are more accessible and easy to get	drugs accessible easy	-1	April 08, 2013, 12:42:37 PM	41g13	Steven Neal
84	these things could include natural remedies such as plants and such	things include natural remedies plants	82	April 08, 2013, 12:43:51 PM	41g13	Steven Neal
85	create more medicines with small amounts of side-effects in order to reduce the struggle and waiting time until you are physically and emotionally well	create medicines small amounts side-effects order reduce struggle waiting time physically emotionally	-1	April 08, 2013, 12:44:06 PM	17g14	Daniel Keller
86	obesity is a serious problem in the US	obesity problem	77	April 08, 2013, 12:45:10 PM	41g13	Steven Neal
87	instill more nutritional values in young kids so their foundation is knowledge in healthy eating and lifestyles	instill nutritional values young kids foundation knowledge healthy eating lifestyles	-1	April 08, 2013, 12:46:11 PM	17g14	Daniel Keller
88	keep food producing companies from swaying people's truths about certain foods rather than telling them the actual truth about the products they're producing	food producing companies swaying people's truths foods telling actual truth products they're producing	-1	April 08, 2013, 12:47:42 PM	17g14	Daniel Keller
89	keep the facts relevant and truthful. not lacking the full truth in order to make profit	facts relevant truthful. lacking full truth order make profit	88	April 08, 2013, 12:48:17 PM	17g14	Daniel Keller
90	keep all companies that have anything to do with health-related issues in human beings from telling lies in order to benefit for themselves	companies health-related issues human beings telling lies order benefit	-1	April 08, 2013, 12:49:40 PM	17g14	Daniel Keller
91	such as? i dont think mentally handicapped should be treated as second class citizens	as? mentally handicapped treated class citizens	-1	April 08, 2013, 12:49:43 PM	41g13	Steven Neal
92	facts are important	facts important	90	April 08, 2013, 12:49:54 PM	17g14	Daniel Keller
93	have more people in the medical field be searching for cures to diseases	people medical field searching cures diseases	-1	April 08, 2013, 12:50:51 PM	41g13	Steven Neal
94	such as guns and weapons that could be used unconsciously or unknowingly against themselves or others. background checks and psychological tests before purchase of weapons would help this	guns weapons unconsciously unknowingly others. background checks psychological tests purchase weapons	91	April 08, 2013, 12:51:39 PM	17g14	Daniel Keller
95	maybe the ER should also decrease in cost	er decrease cost	17	April 08, 2013, 12:51:52 PM	41g13	Steven Neal
96	guns dont kill people, people kill people	guns kill people, people kill people	94	April 08, 2013, 12:52:29 PM	41g13	Steven Neal
97	hire strictly researchers, instead of someone trying to juggle being a doctor and researching	hire strictly researchers, juggle doctor researching	93	April 08, 2013, 12:52:33 PM	17g14	Daniel Keller
98	If the side effects outweigh the benefits of a drug the drug should not be used	side effects outweigh benefits drug drug	-1	April 08, 2013, 12:53:35 PM	41g13	Steven Neal
99	yes, so background checks on the people purchasing the guns would solve problems with unnecessary/inappropriate use of them which would decrease the amount of accidents resulting in the need of medical assistance	yes, background checks people purchasing guns solve problems unnecessary/inappropriate decrease amount accidents resulting medical assistance	96	April 08, 2013, 12:54:27 PM	17g14	Daniel Keller
100	make learning about healthcare easier	make learning healthcare easier	-1	April 08, 2013, 12:56:47 PM	41g13	Steven Neal
101	nearly impossible due to the amount of people that need it	impossible due amount people	9	April 10, 2013, 01:29:39 PM	72g15	Daniel Mason
102	Finance more towards technology curing people faster and more efficiently and stopping them from visiting again	finance technology curing people faster efficiently stopping visiting	-1	April 10, 2013, 01:30:33 PM	72g15	Daniel Mason
103	Divert funds to states and let states decide how health care should be administrated	divert funds states states decide health care administrated	-1	April 10, 2013, 01:31:04 PM	72g15	Daniel Mason
104	Give only necessary needs rather than maximum benefits to save funds for more needy people	give maximum benefits save funds needy people	-1	April 10, 2013, 01:32:16 PM	72g15	Daniel Mason
105	Provide more ER's in low income regions for better convenience	provide er's low income regions convenience	-1	April 10, 2013, 01:32:58 PM	72g15	Daniel Mason
106	Make education in health care more readily available to those in need of it 	make education health care readily it 	-1	April 10, 2013, 01:33:38 PM	72g15	Daniel Mason
107	Eliminate Medicaid and create a more stabilized system that works across different types of incomes not just the poor	eliminate medicaid create stabilized system works types incomes poor	-1	April 10, 2013, 01:35:11 PM	72g15	Daniel Mason
108	Assign long-term schedule for when to visit with a doctor yearly/monthly depending on level of needs	assign long-term schedule visit doctor yearly/monthly depending level	-1	April 10, 2013, 01:36:22 PM	72g15	Daniel Mason
109	Fund technology for pharmaceuticals to better enhances the treatment to a sickness	fund technology pharmaceuticals enhances treatment sickness	-1	April 10, 2013, 01:37:09 PM	72g15	Daniel Mason
110	Start education of health at younger ages, grade school (elementary up to high school)	start education health younger ages, grade school (elementary high school)	-1	April 10, 2013, 01:38:17 PM	72g15	Daniel Mason
111	Eliminate non-important expenditures and direct them towards health care	eliminate non-important expenditures direct health care	-1	April 10, 2013, 01:39:00 PM	72g15	Daniel Mason
112	Make health insurance more accessible and open to lower income families	make health insurance accessible open lower income families	-1	April 10, 2013, 01:39:31 PM	72g15	Daniel Mason
113	Create jobs in the health care industry that both educate the employees and help the lower income families	create jobs health care industry educate employees lower income families	-1	April 10, 2013, 01:40:09 PM	72g15	Daniel Mason
114	make education of health care more available to the public via. online classes or public seminars	make education health care public via. online classes public seminars	-1	April 10, 2013, 01:42:28 PM	72g15	Daniel Mason
